keyword,category,priority
how to fix a leaky faucet,plumbing,high
how to unclog a drain,plumbing,high
how to install a light switch,electrical,high
how to patch drywall,drywall,high
how to paint a room,painting,high
how to install hardwood floors,floors,high
how to fix a running toilet,plumbing,high
how to install a ceiling fan,electrical,high
how to caulk a bathtub,bathroom,high
how to tile a bathroom floor,bathroom,high
how to replace a light fixture,electrical,high
how to install crown molding,drywall,high
how to refinish hardwood floors,floors,medium
how to replace a faucet,plumbing,medium
how to install a dimmer switch,electrical,medium
how to fix squeaky floors,floors,medium
how to install kitchen backsplash,kitchen,medium
how to replace door locks,doors,medium
how to install a door,doors,medium
how to fix a hole in drywall,drywall,medium
how to paint cabinets,kitchen,medium
how to install laminate flooring,floors,medium
how to replace window screen,windows,medium
how to insulate pipes,plumbing,medium
how to install recessed lighting,electrical,medium
how to grout tile,bathroom,medium
how to fix peeling paint,painting,medium
how to install a bathroom vanity,bathroom,medium
how to replace a toilet,plumbing,low
how to install vinyl plank flooring,floors,low
how to fix drafty windows,windows,low
how to install weatherstripping,doors,low
how to replace circuit breaker,electrical,low
how to fix hvac airflow,hvac,low
how to clean gutters,outdoor,low
how to build a deck,outdoor,low
how to stain a fence,outdoor,low
essential power tools for diy,tools,low
how to use a stud finder,tools,low
how to paint exterior trim,painting,low
